,accuracy,f1,log_loss,roc_auc
0,0.6725987355795112,0.5823257048481087,1.217709583622963,0.6406125443884252
1,0.6735508326400228,0.583465775678335,1.2153795149293103,0.6399365336099608
2,0.6730822277390709,0.582962117588656,1.2178821427610356,0.650502437862355
3,0.6735760746732157,0.58519506065139,1.2173160048211165,0.6539291958111179
4,0.6730421860957618,0.5844535324675243,1.2141664641703962,0.6460384191666144
mean,0.6731700113455166,0.5836804382468028,1.2164907420609643,0.6462038261676947
std,0.0003634043316505576,0.0010285059912659102,0.0014655867586339548,0.005453955372835716
