,accuracy,f1,log_loss,roc_auc
0,0.7018334541992375,0.6433037621125373,1.0160422573858212,0.8211040723383368
1,0.703501848580975,0.6453096288063048,1.011787433388427,0.8242635955932072
2,0.7011380724842725,0.6428847685731471,1.0161663127602403,0.8205295360434977
3,0.702846515932125,0.6453088935165266,1.0125773042420663,0.8287522661816263
4,0.7020456830659442,0.644210830426117,1.0123538642232086,0.826917033716048
mean,0.7022731148525109,0.6442035766869265,1.0137854343999526,0.8243133007745431
std,0.0008212092618622597,0.0009994048539570368,0.0019111677816155222,0.003196946431101695
