,accuracy,f1,log_loss,roc_auc
0,0.7083023753486944,0.6518711170671075,0.9906830687782423,0.8264985301943419
1,0.7100997922292863,0.6543625405460965,0.985843389214858,0.8290907543438399
2,0.7083010775651122,0.6518135869092331,0.9913813159711227,0.82586572746608
3,0.7088839059288327,0.6530507526250138,0.9887761044724932,0.832553648465631
4,0.70816315634927,0.6519996590542684,0.9872086741756737,0.830260090726981
mean,0.708750061484239,0.6526195312403439,0.9887785105224779,0.8288537502393748
std,0.0007191876657063713,0.000981625681118594,0.002072740571724472,0.0024575822652159684
