,accuracy,f1,log_loss,roc_auc
0,0.5386577315463092,0.42261997791292494,3.562978201722881,0.6155863932305313
1,0.537534383595899,0.4209828259686619,3.5843930718704478,0.6149954843108336
2,0.5271317829457365,0.4161443360905492,3.789909375456995,0.6196643950029246
3,0.5065266316579145,0.3547635621733255,2.1722844784013966,0.6154349421169972
4,0.5078769692423106,0.35791089133698656,2.1835685268952223,0.6158055409176069
mean,0.5235454997976341,0.3944843186964896,3.0586267308693884,0.6162973511157788
std,0.01394327484980237,0.031235545931841954,0.723450676495543,0.0017042845644190336
