,accuracy,f1,log_loss,roc_auc
0,0.7644528905781156,0.740405445488591,0.8152965885625646,0.8072766139079418
1,0.7586896724181045,0.7343787638537989,0.814875313644509,0.8121906296408231
2,0.767941985496374,0.7442377245643629,0.8121066125260464,0.8223009276496527
3,0.7606901725431358,0.7362664449963199,0.8269923549205662,0.804468098172119
4,0.7647911977994498,0.7410196461005001,0.8110252083476991,0.8254857186620871
mean,0.7633131837670359,0.7392616050007146,0.816059215600277,0.8143443976065248
std,0.0032608682162627036,0.0035206239958252474,0.005700544874269465,0.008240982691019265
