,accuracy,f1,log_loss,roc_auc
0,0.6774482019157616,0.5896458107777377,1.1884777675337055,0.658394413423194
1,0.6784803819065967,0.590625322727784,1.1831874113497232,0.660127652183867
2,0.6776113825044713,0.5900076928785232,1.188534791631042,0.6602867226996674
3,0.6783098867266402,0.5909576069157246,1.1880190824856145,0.6730907673195624
4,0.6776469750763016,0.5901752652980649,1.1849979656217602,0.6597821195507924
mean,0.6778993656259542,0.5902823397195668,1.1866434037243692,0.6623363350354167
std,0.0004138336510453831,0.0004616682884829494,0.0021673061941396964,0.005418482576490648
