,accuracy,f1,log_loss,roc_auc
0,0.6679005370005383,0.5697163476853804,1.218095276217985,0.69110265181376
1,0.6651332268526964,0.5621032172945896,1.2185194475495627,0.6923025320661144
2,0.6648247510744507,0.5643437646182482,1.2215847113246396,0.6968549367131754
3,0.6627069930505504,0.5594881981738662,1.2237922281252342,0.7082179967052096
4,0.6659770605874554,0.5677824607546967,1.2197775839545255,0.6971236818110079
mean,0.6653085137131383,0.5646867977053562,1.2203538494343893,0.6971203598218535
std,0.0016851232107765106,0.003706683133022558,0.0021040786186226016,0.006044042998055208
