,accuracy,f1,log_loss,roc_auc
0,0.6595808103502738,0.580405904874284,1.3033201890258261,0.6444548424425914
1,0.6595719122469046,0.5802479352148061,1.2997613776187353,0.6485260647599154
2,0.6590276109375973,0.5798384207339595,1.3018138194947686,0.6446796502118921
3,0.6587784629347855,0.5797786279376094,1.303307283127398,0.6510156519927501
4,0.658849648078446,0.5793236127594056,1.3014918270545368,0.6553097129662392
mean,0.6591616889096015,0.5799189003040129,1.3019388992642529,0.6487971844746776
std,0.00034818227960594625,0.00038104015082998085,0.001321934554240493,0.004079660625853866
