,accuracy,f1,log_loss,roc_auc
0,0.6725987355795112,0.5823257048481087,1.2176985865679493,0.640735593261865
1,0.6735508326400228,0.583465775678335,1.2153626432270455,0.6400350630893348
2,0.6730822277390709,0.582962117588656,1.2178510406839385,0.6505272831086505
3,0.6735760746732157,0.58519506065139,1.2172964967040871,0.6539689508040669
4,0.6730466351672406,0.5844580325794424,1.2141170172360496,0.6460630787602666
mean,0.6731709011598124,0.5836813382691864,1.216465156883814,0.6462659938048367
std,0.00036309557126345046,0.0010291838603658878,0.0014739365494273835,0.00542116473325036
