,accuracy,f1,log_loss,roc_auc
0,0.8317991520107489,0.7756214955873247,0.863954409886717,0.784413136766004
1,0.8311762847749002,0.7744483350255664,0.86284148740092,0.7962664843513
2,0.8296939928636894,0.7727346170039182,0.8298916273502619,0.8053403768473099
3,0.8316248898854809,0.7754142607962141,0.8674006504439249,0.803186368596021
4,0.8300009787957253,0.7736696307993882,0.8669233632983129,0.7830867341668234
mean,0.830859059666109,0.7743776678424823,0.8582023076760275,0.7944586201454916
std,0.0008561056880105527,0.0010795886970352078,0.01426022166526517,0.009252957602402814
