,accuracy,f1,log_loss,roc_auc
0,0.8767746154907081,0.8327194399640233,0.5032860086650909,0.9463551960046955
1,0.8804139397687383,0.8360110996248107,0.4826909879607141,0.9451140973537336
2,0.8725341021328848,0.8259913934414749,0.5179087277061808,0.9321526132170752
3,0.8743938140110159,0.8284760511508115,0.5104212477518804,0.9441518413356466
4,0.8840883407632827,0.8400707438521915,0.499145050102252,0.9362763193322995
mean,0.877640962433326,0.8326537456066625,0.5026904044372237,0.9408100134486901
std,0.004162514688551175,0.005062174869863222,0.0118681442747541,0.0055847464146276515
