,accuracy,f1,log_loss,roc_auc
0,0.6650397967673191,0.5651007126165789,1.1945260713031574,0.691993670596867
1,0.6647728536662411,0.5635258600616718,1.1918249364287274,0.704135082256593
2,0.6660793892314674,0.5664551282941415,1.1947112782756706,0.6953342399513928
3,0.6653052507941593,0.5640593701772076,1.192601289526124,0.6980969873283913
4,0.668419600829307,0.5716012023606889,1.193278501027723,0.6891184779661375
mean,0.6659233782576988,0.5661484547020577,1.1933884153122805,0.6957356916198764
std,0.0013222685958469095,0.0029040160467263864,0.00110637624215145,0.005178356530970341
