,accuracy,f1,log_loss,roc_auc
DecisionTree_mean,0.6591616889096015,0.5799189003040129,1.3019388992642529,0.6487971844746776
DecisionTree_std,0.00034818227960594625,0.00038104015082998085,0.001321934554240493,0.004079660625853866
RandomForest_mean,0.645694372829164,0.5418681761625493,1.3064456427375413,0.693697934458889
RandomForest_std,0.0009804451846840549,0.001665995195918411,0.00103580884032056,0.00514390316477656
XGBoost_mean,0.6798026748099598,0.6119412995602829,1.1222488349426707,0.800897724001749
XGBoost_std,0.0004857163572768981,0.0007848906517610326,0.0010697362162815137,0.004412536847770742
