,accuracy,f1,log_loss,roc_auc
0,0.5486938441952646,0.5023830512786787,1.3373188477307199,0.8324265162976873
1,0.5482907954791832,0.5014573505453438,1.3376418794838658,0.8356306244395135
2,0.5483519476981749,0.502146982577969,1.3397328100060122,0.82776619412868
3,0.5479476424364224,0.5019368827129645,1.3380653592030647,0.834169646670375
4,0.5478169986963423,0.5013962873886904,1.3377705905246355,0.8299022678923579
mean,0.5482202457010774,0.5018641109007292,1.3381058973896596,0.8319790498857227
std,0.0003109787477159961,0.00038442790310704787,0.0008480186887193363,0.0028423270136375915
