,accuracy,f1,log_loss,roc_auc
0,0.6796593806030244,0.611165588763535,1.1238888887072225,0.793292457656817
1,0.680308942148981,0.6127013608272366,1.120781383767498,0.8011398487122066
2,0.6791285158787361,0.6112839195290662,1.1219784088533171,0.8003040333475586
3,0.6804053993931467,0.6130659175719565,1.1216650644771626,0.8068056022452244
4,0.6795111360259114,0.6114897111096205,1.1229304289081536,0.8029466780469391
mean,0.6798026748099598,0.6119412995602829,1.1222488349426707,0.800897724001749
std,0.0004857163572768981,0.0007848906517610326,0.0010697362162815137,0.004412536847770742
