,accuracy,f1,log_loss,roc_auc
0,0.8421787895909987,0.8042611468650387,0.7038859698864653,0.7435078645385585
1,0.8424635288988153,0.8033253666779908,0.7011792332687715,0.7530971225815581
2,0.8412170879937357,0.8019500641341224,0.7060429523964031,0.7513040274560983
3,0.842396091935613,0.8032154081618111,0.7022048549969983,0.7553200737341916
4,0.8423293558634313,0.8046164607385791,0.7035470943855291,0.7468951178177319
mean,0.8421169708565188,0.8034736893155084,0.7033720209868334,0.7500248412256276
std,0.0004597236490109338,0.0009312527444478313,0.0016491975736885385,0.004275064238387755
