,accuracy,f1,log_loss,roc_auc
0,0.7533006601320265,0.7267938053823875,1.5381808911298795,0.714366229393213
1,0.7516379094773693,0.7255720167524573,1.497203365860521,0.7306060271229363
2,0.7527381845461365,0.7253915654932658,1.5395900314344095,0.7121682276256597
3,0.7534883720930232,0.7263489646386303,1.5511008676351465,0.7006460364479155
4,0.7593898474618654,0.7329592177249243,1.4832388100251015,0.7244172640937018
mean,0.7541109947420843,0.7274131139983331,1.5218627932170117,0.7164407569366852
std,0.0027170331518467294,0.002819628379583415,0.026590598809164506,0.010356745747926721
