,accuracy,f1,log_loss,roc_auc
0,0.8810145617461638,0.8602687387646948,0.4711152051134874,0.8753829509327541
1,0.8818776777729826,0.8611488151218032,0.4678956026735727,0.887381163736835
2,0.8805290835802568,0.8599569594459341,0.4709564564928886,0.8856847419215356
3,0.8806803520105354,0.8599597009499659,0.4679492178932261,0.8924316268830232
4,0.8710926029737593,0.8530393826710594,0.7346110904375347,0.8288287197686213
mean,0.8790388556167397,0.8588747193906915,0.5225055145221419,0.873941840648554
std,0.004000513637141729,0.0029500638827652777,0.10606194095262614,0.023227801466144882
