,accuracy,f1,log_loss,roc_auc
0,0.9510826767274555,0.9435444672495245,0.7756579329666942,0.6560133531741724
1,0.9654664608238754,0.9609816714423137,0.5352874664679729,0.6935070085732753
2,0.9916046021195376,0.9915283475125093,0.03250665753943561,0.9983598445590982
3,0.9901364085315395,0.9900629726315971,0.05714224747791308,0.9744192045000464
4,0.9912353291867987,0.9911678297362744,0.03770547089965393,0.9948954493251151
mean,0.9779050954778412,0.9754570577144438,0.28765995507033393,0.8634389720263416
std,0.0166681637360254,0.019730168279928552,0.30989684533518924,0.1547277084609867
