,accuracy,f1,log_loss,roc_auc
0,0.6643724390146241,0.5645013778994421,1.2214172582371934,0.6899718707777746
1,0.6681852763083549,0.5708967616009146,1.2203472235239579,0.6965971148586776
2,0.6672272496729933,0.5709325093841787,1.2218138221068218,0.6950203717985353
3,0.6685174804018401,0.5704682881872755,1.2194303610066126,0.7072502424590122
4,0.6642285754962939,0.5626606421460386,1.2138168295099676,0.6934728780731997
mean,0.6665062041788212,0.5678919158435699,1.2193650988769107,0.6964624955934399
std,0.0018506738263419774,0.0035713855464536053,0.0028968853768408485,0.005823046440431801
