,accuracy,f1,log_loss,roc_auc
0,0.7124424884976995,0.6756851901764609,0.986249570002137,0.7465584675630409
1,0.7108277069267317,0.6749348253665421,0.9673757802082633,0.7657355068339162
2,0.7135283820955238,0.676200253736003,0.9794952856931887,0.7389200435062997
3,0.7132283070767692,0.6762384972471338,0.9822177059592677,0.7493590686931024
4,0.7136784196049012,0.6764823380475653,0.9851795480016425,0.7531653185699028
mean,0.7127410608403252,0.675908220914741,0.9801035779728998,0.7507476810332523
std,0.001047472553319502,0.0005515827608086763,0.0067878580175770795,0.008830069724400405
