,accuracy,f1,log_loss,roc_auc
0,0.702518608158671,0.6444527145334626,1.0111110393335938,0.8237712803602928
1,0.7039956933179693,0.6465556890997028,1.007374954706025,0.8268557923718168
2,0.701516243559969,0.643036369860183,1.01243580350137,0.8240408829597747
3,0.7029666408620521,0.645535108543414,1.0090928459753101,0.8320434919636396
4,0.7025617753574829,0.6449150481612714,1.0080427900920363,0.8274363175141792
mean,0.7027117922512288,0.6448989860396068,1.009611486721667,0.8268295530339407
std,0.0008003138882732862,0.0011677390247809218,0.0018951145667023522,0.002989438854664573
