,accuracy,f1,log_loss,roc_auc
0,0.9032286768075385,0.8955632950547222,0.3462656552822798,0.7400627404058665
1,0.90302846948173,0.8954084498538695,0.3476878946289907,0.7403857800654802
2,0.9025608855431871,0.8948614344875647,0.348419312007587,0.7415563065680668
3,0.9028189316889565,0.8953183683150816,0.34702174540919345,0.7419515854078312
4,0.9030102417625442,0.895304074051989,0.3484798203665421,0.7395041512585707
mean,0.9029294410567912,0.8952911243526455,0.34757488553891863,0.7406921127411631
std,0.00022535434520261504,0.00023383133778936797,0.000844367458596502,0.0009202504112787431
