,accuracy,f1,log_loss,roc_auc
0,0.647514982181548,0.5450860649447018,1.3062223634667747,0.6869523186126182
1,0.6454684184066166,0.5412870853568227,1.3069105348287713,0.6912338040139832
2,0.645213243995978,0.5407743073907552,1.3060133440665675,0.7026050783957822
3,0.6445948230604273,0.5404649042042482,1.308105188141933,0.6946679021258413
4,0.6456803965012502,0.5417285189162189,1.304976783183661,0.6930305691462206
mean,0.645694372829164,0.5418681761625493,1.3064456427375413,0.693697934458889
std,0.0009804451846840549,0.001665995195918411,0.00103580884032056,0.00514390316477656
