,accuracy,f1,log_loss,roc_auc
0,0.5080137203342246,0.4287219369924786,1.5303877963071693,0.7269950989859385
1,0.5096092373206433,0.4300542156471032,1.531726454621476,0.7391603855123485
2,0.5112631268797359,0.43502984519217286,1.531300868489582,0.7388591520888274
3,0.5092076040216035,0.4303656519832396,1.5275964495856242,0.7423016292463794
4,0.5104834652279178,0.43178613824700235,1.5266309691791125,0.7288013904705023
mean,0.509715430756825,0.43119155761239936,1.5295285076365928,0.7352235312607992
std,0.0011090738153018047,0.002152239323900923,0.002041528269989729,0.006128083245664563
